Rank,Country,GDP
World,—,"109,529,216"
United States,Americas,"28,781,083"
China,Asia,"18,532,633"
Germany,Europe,"4,591,100"
Japan,Asia,"4,110,452"
India,Asia,"4,038,000[16]"
United Kingdom,Europe,"3,495,261"
France,Europe,"3,130,014"
Brazil,Americas,"2,331,391"
Italy,Europe,"2,328,028"
Canada,Americas,"2,242,182"
Russia,Europe,"2,056,844"
Mexico,Americas,"2,017,025"
Australia,Oceania,"1,790,348"
South Korea,Asia,"1,760,947"
Spain,Europe,"1,647,114"
Indonesia,Asia,"1,475,690"
Netherlands,Europe,"1,142,513"
Turkey,Asia,"1,113,561"
Saudi Arabia,Asia,"1,106,015"
Switzerland,Europe,"938,458"
Poland,Europe,"844,623"
Taiwan,Asia,"802,958"
Belgium,Europe,"655,192"
Sweden,Europe,"623,048"
Argentina,Americas,"604,260"
Ireland,Europe,"564,020"
Thailand,Asia,"548,890"
Austria,Europe,"540,887"
Israel,Asia,"530,664"
United Arab Emirates,Asia,"527,796"
Norway,Europe,"526,951"
Singapore,Asia,"525,228"
Philippines,Asia,"471,516"
Vietnam,Asia,"465,814"
Iran,Asia,"464,181"
Bangladesh,Asia,"455,162"
Malaysia,Asia,"445,519"
Denmark,Europe,"409,989"
Hong Kong,Asia,"406,775"
Colombia,Americas,"386,076"
South Africa,Africa,"373,233"
Romania,Europe,"369,971"
Egypt,Africa,"347,594"
Pakistan,Asia,"338,237"
Chile,Americas,"333,760"
Czech Republic,Europe,"325,880"
Finland,Europe,"308,055"
Portugal,Europe,"298,949"
Kazakhstan,Asia,"296,740"
Peru,Americas,"282,458"
Algeria,Africa,"266,780"
Iraq,Asia,"265,894"
New Zealand,Oceania,"257,625"
Nigeria,Africa,"252,738"
Greece,Europe,"250,276"
Qatar,Asia,"244,686"
Hungary,Europe,"223,413"
Ethiopia,Africa,"205,130"
Ukraine,Europe,"188,943"
Kuwait,Asia,"160,397"
Morocco,Africa,"152,377"
Cuba,Americas,—
Slovakia,Europe,"140,808"
Dominican Republic,Americas,"127,356"
Ecuador,Americas,"121,592"
Puerto Rico,Americas,"117,763"
Guatemala,Americas,"110,035"
Oman,Asia,"108,927"
Bulgaria,Europe,"107,933"
Kenya,Africa,"104,001"
Venezuela,Americas,"102,328"
Uzbekistan,Asia,"97,956"
Costa Rica,Americas,"96,058"
Angola,Africa,"92,123"
Luxembourg,Europe,"88,556"
Croatia,Europe,"88,076"
Panama,Americas,"87,347"
Ivory Coast,Africa,"86,911"
Uruguay,Americas,"82,605"
Turkmenistan,Asia,"81,896"
Serbia,Europe,"81,873"
Lithuania,Europe,"81,170"
Tanzania,Africa,"79,605"
Azerbaijan,Asia,"78,749"
Ghana,Africa,"75,244"
Sri Lanka,Asia,"74,846"
DR Congo,Africa,"73,761"
Slovenia,Europe,"72,101"
Belarus,Europe,"69,048"
Myanmar,Asia,"68,006"
Uganda,Africa,"56,310"
Tunisia,Africa,"54,708"
Macau,Asia,"54,677"
Jordan,Asia,"53,570"
Cameroon,Africa,"53,205"
Bolivia,Americas,"49,334"
Libya,Africa,"48,221"
Bahrain,Asia,"46,790"
Paraguay,Americas,"45,817"
Latvia,Europe,"45,466"
Cambodia,Asia,"45,150"
Nepal,Asia,"44,179"
Estonia,Europe,"43,486"
Honduras,Americas,"37,355"
Senegal,Africa,"35,450"
El Salvador,Americas,"35,333"
Zimbabwe,Africa,"34,405"
Cyprus,Asia,"34,221"
Iceland,Europe,"33,338"
Georgia,Asia,"32,865"
Papua New Guinea,Oceania,"31,716"
Zambia,Africa,"29,872"
Bosnia and Herzegovina,Europe,"29,078"
Trinidad and Tobago,Americas,"28,365"
Sudan,Africa,"26,865"
Guinea,Africa,"25,447"
Albania,Europe,"25,431"
Armenia,Asia,"25,408"
Haiti,Americas,"24,046"
Mozambique,Africa,"22,975"
Malta,Europe,"22,737"
Mongolia,Asia,"21,943"
Burkina Faso,Africa,"21,902"
Lebanon,Asia,"21,780"
Mali,Africa,"21,662"
Botswana,Africa,"21,418"
Benin,Africa,"21,371"
Guyana,Americas,"21,178"
Gabon,Africa,"21,013"
Jamaica,Americas,"20,098"
Nicaragua,Americas,"18,829"
Niger,Africa,"18,816"
Chad,Africa,"18,697"
Palestine,Asia,"18,602"
Moldova,Europe,"18,356"
Yemen,Asia,"16,940"
Madagascar,Africa,"16,465"
Mauritius,Africa,"16,359"
North Macedonia,Europe,"15,873"
